구매일,구매금액
2019-01-01,3051240
2019-01-02,2556280
2019-01-03,2729480
2019-01-04,2238440
2019-01-05,2478680
2019-01-06,3915680
2019-01-07,4218880
2019-01-08,3282640
2019-01-09,3141000
2019-01-10,5273800
2019-01-11,5475560
2019-01-12,5081080
2019-01-13,2712400
2019-01-14,4926400
2019-01-15,5277080
2019-01-16,9731720
2019-01-17,6657400
2019-01-18,7447120
2019-01-19,5033600
2019-01-20,3444400
2019-01-21,6844160
2019-01-22,6084360
2019-01-23,5668600
2019-01-24,4798240
2019-01-25,5334240
2019-01-26,3859640
2019-01-27,4123880
2019-01-28,7166480
2019-01-29,6377360
2019-01-30,7049440
2019-01-31,9796080
2019-02-01,4652400
2019-02-02,2874680
2019-02-03,3459040
2019-02-04,2808960
2019-02-05,3597920
2019-02-06,4446640
2019-02-07,7105400
2019-02-08,11298040
2019-02-09,8503760
2019-02-10,5380200
2019-02-11,8818560
2019-02-12,7905160
2019-02-13,10148240
2019-02-14,11627880
2019-02-15,7992840
2019-02-16,7518720
2019-02-17,7656640
2019-02-18,9201240
2019-02-19,9086840
2019-02-20,8050640
2019-02-21,10959000
2019-02-22,9421080
2019-02-23,6571720
2019-02-24,6870240
2019-02-25,13813080
2019-02-26,10908680
2019-02-27,11030080
2019-02-28,12995880
2019-03-01,10638400
2019-03-02,4029160
2019-03-03,4808000
2019-03-04,4859880
2019-03-05,4859880
2019-03-06,7701200
2019-03-07,11733800
2019-03-08,7677200
2019-03-09,8828600
2019-03-10,7844120
2019-03-11,9353800
2019-03-12,8421720
2019-03-13,13006240
2019-03-14,11189240
2019-03-15,13004440
2019-03-16,9183120
2019-03-17,7720240
2019-03-18,11240080
2019-03-19,12708720
2019-03-20,13476120
2019-03-21,15948560
2019-03-22,8722560
2019-03-23,10090840
2019-03-24,8106720
2019-03-25,12467720
2019-03-26,14323760
2019-03-27,14593960
2019-03-28,10949880
2019-03-29,9858080
2019-03-30,6643920
2019-03-31,10284920
2019-04-01,16928880
2019-04-02,13278320
2019-04-03,15049160
2019-04-04,13116600
2019-04-05,11306600
2019-04-06,5626040
2019-04-07,4759400
2019-04-08,8812840
2019-04-09,16414400
2019-04-10,36552800
2019-04-11,27522000
2019-04-12,25858280
2019-04-13,8469920
2019-04-14,10364600
2019-04-15,16680800
2019-04-16,17346400
2019-04-17,16203840
2019-04-18,14328840
2019-04-19,13414640
2019-04-20,8611840
2019-04-21,10819480
2019-04-22,15048920
2019-04-23,18435840
2019-04-24,13383400
2019-04-25,3453920
2019-04-26,3453920
2019-04-27,3453920
2019-04-28,10526720
2019-04-29,19988000
2019-04-30,17761600
2019-05-01,17530320
2019-05-02,15239360
2019-05-03,15070320
2019-05-04,12927400
2019-05-05,8703160
2019-05-06,9729200
2019-05-07,17464800
2019-05-08,17546440
2019-05-09,16470000
2019-05-10,17110160
2019-05-11,11757240
2019-05-12,11534280
2019-05-13,16140240
2019-05-14,18572800
2019-05-15,16104120
2019-05-16,20979800
2019-05-17,19019960
2019-05-18,12544320
2019-05-19,12707680
2019-05-20,21338000
2019-05-21,16629560
2019-05-22,14779480
2019-05-23,22005120
2019-05-24,16165800
2019-05-25,13768000
2019-05-26,13762920
2019-05-27,19160920
2019-05-28,21248600
2019-05-29,21198000
2019-05-30,19312720
2019-05-31,20018440
2019-06-01,20600280
2019-06-02,15364800
2019-06-03,20086840
2019-06-04,18356680
2019-06-05,18610560
2019-06-06,16540080
2019-06-07,20766560
2019-06-08,13554920
2019-06-09,11571040
2019-06-10,19154240
2019-06-11,24037160
2019-06-12,23315680
2019-06-13,18760680
2019-06-14,19587800
2019-06-15,13552880
2019-06-16,15022040
2019-06-17,22062360
2019-06-18,20247460
2019-06-19,20119500
2019-06-20,19315200
2019-06-21,18598840
2019-06-22,16521300
2019-06-23,12064440
2019-06-24,22267420
2019-06-25,30553620
2019-06-26,28655960
2019-06-27,23854840
2019-06-28,20849760
2019-06-29,16488120
2019-06-30,17518320
2019-07-01,30097640
2019-07-02,23175840
2019-07-03,25543760
2019-07-04,22776920
2019-07-05,20948760
2019-07-06,12791480
2019-07-07,11035880
2019-07-08,24589040
2019-07-09,22859020
2019-07-10,23675500
2019-07-11,21988880
2019-07-12,19786600
2019-07-13,12018980
2019-07-14,13363920
2019-07-15,23644680
2019-07-16,24884560
2019-07-17,21874380
2019-07-18,19147180
2019-07-19,19379620
2019-07-20,14995300
2019-07-21,10026680
2019-07-22,25281020
2019-07-23,25754220
2019-07-24,19563360
2019-07-25,23542040
2019-07-26,20656680
2019-07-27,15807360
2019-07-28,17241120
2019-07-29,45427040
2019-07-30,57659320
2019-07-31,29559360
2019-08-01,31651040
2019-08-02,27043800
2019-08-03,20864720
2019-08-04,20381960
2019-08-05,28912560
2019-08-06,25044800
2019-08-07,21900160
2019-08-08,21892160
2019-08-09,17564240
2019-08-10,15808000
2019-08-11,16310240
2019-08-12,28172360
2019-08-13,29620720
2019-08-14,26656920
2019-08-15,20354880
2019-08-16,25207840
2019-08-17,17680760
2019-08-18,15473240
2019-08-19,26035000
2019-08-20,26765680
2019-08-21,28409520
2019-08-22,26449200
2019-08-23,21969080
2019-08-24,18728080
2019-08-25,18081720
2019-08-26,26390320
2019-08-27,34907720
2019-08-28,29353320
2019-08-29,25421600
2019-08-30,29997740
2019-08-31,15691700
2019-09-01,24728980
2019-09-02,29336780
2019-09-03,34553160
2019-09-04,33333240
2019-09-05,31213020
2019-09-06,29264940
2019-09-07,20358960
2019-09-08,20810300
2019-09-09,28937960
2019-09-10,14686660
2019-09-11,21190200
2019-09-12,19133320
2019-09-13,12309640
2019-09-14,15953200
2019-09-15,28872540
2019-09-16,36115140
2019-09-17,26980640
2019-09-18,25504700
2019-09-19,25535700
2019-09-20,24607700
2019-09-21,18450140
2019-09-22,15505420
2019-09-23,22860480
2019-09-24,23584080
2019-09-25,24976700
2019-09-26,26965440
2019-09-27,21102300
2019-09-28,17522460
2019-09-29,16311100
2019-09-30,23797460
2019-10-01,30138260
2019-10-02,21608180
2019-10-03,18133100
2019-10-04,24865920
2019-10-05,17986140
2019-10-06,13860940
2019-10-07,29958000
2019-10-08,29617720
2019-10-09,23353920
2019-10-10,26683620
2019-10-11,34268940
2019-10-12,19024920
2019-10-13,19538460
2019-10-14,28575420
2019-10-15,23298960
2019-10-16,23825960
2019-10-17,24880360
2019-10-18,23638180
2019-10-19,16602060
2019-10-20,15295500
2019-10-21,32543520
2019-10-22,30447240
2019-10-23,48002380
2019-10-24,46386480
2019-10-25,31787800
2019-10-26,19084140
2019-10-27,20047320
2019-10-28,26409980
2019-10-29,26494460
2019-10-30,45681140
2019-10-31,31001380
2019-11-01,21441240
2019-11-02,17992100
2019-11-03,14513300
2019-11-04,23123280
2019-11-05,21879920
2019-11-06,22263680
2019-11-07,19467140
2019-11-08,17355500
2019-11-09,13023300
2019-11-10,13608160
2019-11-11,25611480
2019-11-12,21394620
2019-11-13,18154480
2019-11-14,20875580
2019-11-15,18929900
2019-11-16,13613860
2019-11-17,15350940
2019-11-18,25090860
2019-11-19,23340640
2019-11-20,18128880
2019-11-21,20491160
2019-11-22,18826560
2019-11-23,16910600
2019-11-24,15093040
2019-11-25,24473140
2019-11-26,37632700
2019-11-27,41767200
2019-11-28,37457240
2019-11-29,24741240
2019-11-30,23123680
2019-12-01,30673620
2019-12-02,26181540
2019-12-03,25992240
2019-12-04,23178820
2019-12-05,21171120
2019-12-06,21482640
2019-12-07,18717080
2019-12-08,18755620
2019-12-09,30825500
2019-12-10,19561400
2019-12-11,15940940
2019-12-12,19249760
2019-12-13,19045260
2019-12-14,17492140
2019-12-15,19040480
2019-12-16,25142160
2019-12-17,25138700
2019-12-18,36052920
2019-12-19,46805120
2019-12-20,45474080
2019-12-21,37786100
2019-12-22,19504260
2019-12-23,23218780
2019-12-24,26890040
2019-12-25,17654260
2019-12-26,33696800
2019-12-27,27523660
2019-12-28,28271980
2019-12-29,27810540
2019-12-30,25262760
2019-12-31,17121840
2020-01-01,17935180
2020-01-02,22963440
2020-01-03,21967800
2020-01-04,17095440
2020-01-05,17032880
2020-01-06,22779120
2020-01-07,26092420
2020-01-08,24059960
2020-01-09,25856700
2020-01-10,21572740
2020-01-11,18749620
2020-01-12,17303820
2020-01-13,27817620
2020-01-14,23434460
2020-01-15,21265720
2020-01-16,21319800
2020-01-17,25714480
2020-01-18,22014200
2020-01-19,27717360
2020-01-20,38107220
2020-01-21,48703880
2020-01-22,24330860
2020-01-23,13853360
2020-01-24,10714820
2020-01-25,9316060
2020-01-26,13296040
2020-01-27,21549520
2020-01-28,35412520
2020-01-29,27538800
2020-01-30,18401100
2020-01-31,17176120
2020-02-01,16240780
2020-02-02,17865420
2020-02-03,21662140
2020-02-04,16623360
2020-02-05,15784280
2020-02-06,16311940
2020-02-07,14819180
2020-02-08,13076980
2020-02-09,10609960
2020-02-10,22863780
2020-02-11,23228400
2020-02-12,24714520
2020-02-13,19716140
2020-02-14,19101940
2020-02-15,17909940
2020-02-16,16122180
2020-02-17,26687580
2020-02-18,23316520
2020-02-19,16914380
2020-02-20,21215540
2020-02-21,25267140
2020-02-22,22438120
2020-02-23,25615080
2020-02-24,35320480
2020-02-25,33953980
2020-02-26,29152980
2020-02-27,27606900
2020-02-28,15677200
2020-02-29,12382620
2020-03-01,18333180
2020-03-02,19994540
2020-03-03,18236400
2020-03-04,12994520
2020-03-05,10347480
2020-03-06,13992240
2020-03-07,12799360
2020-03-08,10194360
2020-03-09,13580820
2020-03-10,24709020
2020-03-11,16776480
2020-03-12,16858560
2020-03-13,14045080
2020-03-14,13461160
2020-03-15,11185400
2020-03-16,7503280
2020-03-17,7503280
2020-03-18,7503280
2020-03-19,8824700
2020-03-20,18577380
2020-03-21,11364520
2020-03-22,11916080
2020-03-23,15570080
2020-03-24,17170920
2020-03-25,21457460
2020-03-26,8357500
2020-03-27,8357500
2020-03-28,5916760
2020-03-29,11102880
2020-03-30,15656820
2020-03-31,23023340
2020-04-01,22406520
2020-04-02,13947220
2020-04-03,9098400
2020-04-04,4228940
2020-04-05,4830940
2020-04-06,18683540
2020-04-07,21647820
2020-04-08,20024120
2020-04-09,12624400
2020-04-10,16870880
2020-04-11,17998760
2020-04-12,14355540
2020-04-13,17332160
2020-04-14,14988700
2020-04-15,10079720
2020-04-16,14558860
2020-04-17,13127380
2020-04-18,8712880
2020-04-19,7460980
2020-04-20,13877880
2020-04-21,17736800
2020-04-22,13215560
2020-04-23,3893040
2020-04-24,2555100
2020-04-25,2255400
2020-04-26,1364400
2020-04-27,2325000
2020-04-28,3932100
2020-04-29,4573900
2020-04-30,2634400
2020-05-01,4010400
2020-05-02,2375100
2020-05-03,2511600
2020-05-04,5201800
2020-05-05,6777500
2020-05-06,7465900
2020-05-07,5018900
2020-05-08,6823400
2020-05-09,4344600
2020-05-10,3160300
2020-05-11,2707300
2020-05-12,5083600
2020-05-13,4770900
2020-05-14,6131100
2020-05-15,3517100
2020-05-16,3673100
2020-05-17,1056700
2020-05-18,3583100
2020-05-19,2282900
2020-05-20,4419300
2020-05-21,5013000
2020-05-22,5948800
2020-05-23,579300
2020-05-24,597700
2020-05-25,1482900
2020-05-26,3455000
2020-05-27,2672900
2020-05-28,3134300
2020-05-29,2723900
2020-05-30,187100
2020-05-31,336800
2020-06-01,943600
2020-06-02,423100
2020-06-03,273900
2020-06-04,355400
2020-06-05,579800
2020-06-06,1097200
2020-06-07,474200
2020-06-08,1341000
2020-06-09,1135900
2020-06-10,249500
2020-06-11,149700
2020-06-12,406000
2020-06-13,2032600
2020-06-14,243000
2020-06-15,2873500
2020-06-16,4161300
2020-06-17,3425400
2020-06-18,3371800
2020-06-19,3990100
2020-06-20,3342900
2020-06-21,3815400
2020-06-22,6133800
2020-06-23,3490000
2020-06-24,3310300
2020-06-25,5484700
2020-06-26,4333500
2020-06-27,3594400
2020-06-28,1890100
2020-06-29,4392800
2020-06-30,4740900
2020-07-01,5746000
2020-07-02,4345000
2020-07-03,3357300
2020-07-04,2493500
2020-07-05,2048600
2020-07-06,4609400
2020-07-07,4152500
2020-07-08,2040900
2020-07-09,4211900
2020-07-10,3326200
2020-07-11,5264000
2020-07-12,2228100
2020-07-13,2047100
2020-07-14,2047100
2020-07-15,1585400
2020-07-16,1047300
2020-07-17,2463200
2020-07-18,3928800
2020-07-19,2553500
2020-07-20,3878100
2020-07-21,3686600
2020-07-22,3205400
2020-07-23,3309300
2020-07-24,2497000
2020-07-25,3399400
2020-07-26,2503100
2020-07-27,3518800
2020-07-28,4755900
2020-07-29,2398300
2020-07-30,2957200
2020-07-31,3172000
2020-08-01,2560300
2020-08-02,2145600
2020-08-03,3075900
2020-08-04,4010200
2020-08-05,2937800
2020-08-06,2647000
2020-08-07,1022300
